Date,Demand
1/2/98 0:00,6010
1/2/98 0:05,5990
1/2/98 0:10,6000
1/2/98 0:15,5970
1/2/98 0:20,5960
1/2/98 0:25,5880
8/2/98 0:00,6250
8/2/98 0:05,6280
8/2/98 0:10,6180
8/2/98 0:15,6210
8/2/98 0:20,6160
